Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Sorgo,1 sep - 31 dic,120,90,5.63,30,1.69,,,,,,,,,0.00,0.00,26.71,52.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450.73,884.76,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450.73,884.76
Guineo,1 ene - 31 dic,365,119,7.44,100,7.44,39.32,40.54,10.60,0.00,0.00,10.61,37.72,17.90,0.00,0.00,27.62,74.60,"2,924.43","3,015.16",788.38,0.00,0.00,789.12,"2,805.43","1,331.31",0.00,0.00,"2,054.24","5,548.38",1.00,"2,924.43","3,015.16",788.38,0.00,0.00,789.12,"2,805.43","1,331.31",0.00,0.00,"2,054.24","5,548.38"
Cana de Azucar,1 ene - 31 dic,365,85,5.31,100,5.31,31.46,51.19,62.71,19.85,41.46,52.82,32.03,0.00,0.00,21.10,56.90,9.14,"1,671.31","2,719.47","3,331.47","1,054.53","2,202.56","2,806.06","1,701.59",0.00,0.00,"1,120.94","3,022.81",485.56,1.00,"1,671.31","2,719.47","3,331.47","1,054.53","2,202.56","2,806.06","1,701.59",0.00,0.00,"1,120.94","3,022.81",485.56
Cebolla,1 sep - 31 ene,150,23,1.44,40,0.58,66.80,,,,,,,,0.00,0.00,30.37,71.68,384.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.63,412.16,1.00,384.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.63,412.16
Cebolla,1 oct - 28 feb,150,23,1.44,60,0.86,80.76,71.60,,,,,,,,0.00,28.80,72.67,696.56,617.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.40,626.78,1.00,696.56,617.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.40,626.78
Berenjena,1 mar - 10 jun,100,488,30.50,40,12.20,,,21.94,0.00,0.00,18.36,6.94,,,,,,0.00,0.00,"2,676.68",0.00,0.00,"2,239.92",846.68,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"2,676.68",0.00,0.00,"2,239.92",846.68,0.00,0.00,0.00,0.00,0.00
Berenjena,1 abr - 10 jul,100,488,30.50,60,18.30,,,,0.00,0.00,18.80,31.32,4.25,,,,,0.00,0.00,0.00,0.00,0.00,"3,440.40","5,731.56",777.75,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"3,440.40","5,731.56",777.75,0.00,0.00,0.00,0.00
Remolacha,1 feb - 30 abr,100,64,4.00,50,2.00,,40.52,36.59,8.30,0.00,,,,,,,,0.00,810.40,731.80,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,810.40,731.80,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Remolacha,1 mar - 30 may,100,64,4.00,50,2.00,,,12.67,0.00,0.00,1.73,,,,,,,0.00,0.00,253.40,0.00,0.00,34.60,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,253.40,0.00,0.00,34.60,0.00,0.00,0.00,0.00,0.00,0.00
Pepino,1 mar - 15 abr,45,88,5.50,40,2.20,,,23.00,0.00,0.00,0.00,,,,,,,0.00,0.00,506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pepino,1 abr - 15 may,45,88,5.50,60,3.30,,,,0.00,0.00,14.66,3.98,,,,,,0.00,0.00,0.00,0.00,0.00,483.78,131.34,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,483.78,131.34,0.00,0.00,0.00,0.00,0.00
Auyama,1 abr - 31 ago,150,895,55.94,20,11.19,,,,0.00,0.00,14.60,22.26,0.00,,,,,0.00,0.00,0.00,0.00,0.00,"1,633.38","2,490.34",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"1,633.38","2,490.34",0.00,0.00,0.00,0.00,0.00
Auyama,1 may - 30 sep,150,895,55.94,30,16.78,,,,,0.00,0.00,26.85,12.80,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,"4,505.77","2,148.00",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,505.77","2,148.00",0.00,0.00,0.00,0.00
Auyama,1 sep - 31 ene,150,895,55.94,20,11.19,67.99,,,,,,,,0.00,0.00,26.14,72.36,"7,606.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,924.41","8,095.28",1.00,"7,606.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,924.41","8,095.28"
Auyama,1 oct - 28 feb,150,895,55.94,30,16.78,81.52,72.91,,,,,,,,0.00,0.00,68.60,"13,680.08","12,235.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,511.94",1.00,"13,680.08","12,235.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,511.94"
Cilantro,1 feb - 15 may,105,690,43.13,40,17.25,57.74,38.76,2.16,0.00,,,,,,,,,"9,960.15","6,686.10",372.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"9,960.15","6,686.10",372.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cilantro,1 mar - 15 jun,105,690,43.13,60,25.88,,,31.37,0.00,0.00,3.23,,,,,,,0.00,0.00,"8,116.99",0.00,0.00,835.76,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"8,116.99",0.00,0.00,835.76,0.00,0.00,0.00,0.00,0.00,0.00
Otras Hortalizas,1 ene - 30 abr,120,616,38.50,30,11.55,55.05,68.45,60.13,7.62,,,,,,,,,"6,358.28","7,905.98","6,945.02",880.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"6,358.28","7,905.98","6,945.02",880.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Otras Hortalizas,1 may - 31 ago,120,616,38.50,30,11.55,,,,,0.00,0.00,29.89,11.51,,,,,0.00,0.00,0.00,0.00,0.00,0.00,"3,452.30","1,329.41",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,452.30","1,329.41",0.00,0.00,0.00,0.00
Otras Hortalizas,1 sep - 31 dic,120,616,38.50,40,15.40,,,,,,,,,0.00,0.00,28.34,71.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,364.36","10,987.90",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,364.36","10,987.90"
Tabaco,1 nov - 31 dic,150,226,14.13,40,5.65,88.58,96.81,56.55,,,,,,,,0.00,57.51,"5,004.77","5,469.77","3,195.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,249.32",1.00,"5,004.77","5,469.77","3,195.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,249.32"
Tabaco,1 dic - 31 dic,150,226,14.13,60,8.48,65.36,95.19,73.83,2.43,,,,,,,,35.47,"5,539.26","8,067.35","6,257.09",205.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,006.08",1.00,"5,539.26","8,067.35","6,257.09",205.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,006.08"
Lechosa,1 abr - 31 dic,270,30,1.88,40,0.75,,,,0.00,0.00,0.00,12.52,12.00,0.00,0.00,18.30,54.74,0.00,0.00,0.00,0.00,0.00,0.00,93.90,90.00,0.00,0.00,137.25,410.55,1.00,0.00,0.00,0.00,0.00,0.00,0.00,93.90,90.00,0.00,0.00,137.25,410.55
Lechosa,1 may - 31 ene,270,30,1.88,60,1.13,63.24,,,,0.00,0.00,0.00,0.00,0.00,0.00,23.95,65.46,711.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269.44,736.43,1.00,711.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269.44,736.43
Pasto Natural,1 ene - 31 dic,365,"1,169",73.06,100,73.06,66.84,70.84,43.71,0.00,0.00,4.12,21.73,3.76,0.00,0.00,16.31,59.81,"48,834.98","51,757.48","31,935.62",0.00,0.00,"3,010.18","15,876.48","2,747.15",0.00,0.00,"11,916.49","43,698.68",1.00,"48,834.98","51,757.48","31,935.62",0.00,0.00,"3,010.18","15,876.48","2,747.15",0.00,0.00,"11,916.49","43,698.68"
