Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Auyama,1 sep - 31 ene,150,895,55.9375,20,11.1875,67.99,,,,,,,,0,0,26.14,72.36,7606.38125,0,0,0,0,0,0,0,0,0,2924.4125,8095.275,1,38031.90625,0,0,0,0,0,0,0,0,0,14622.0625,40476.375
Auyama,1 oct - 28 feb,150,895,55.9375,30,16.78125,81.52,72.91,,,,,,,,0,0,68.6,13680.075,12235.20938,0,0,0,0,0,0,0,0,0,11511.9375,1,68400.375,61176.04688,0,0,0,0,0,0,0,0,0,57559.6875
Cilantro,1 feb - 15 may,105,690,43.125,40,17.25,57.74,38.76,2.16,0,,,,,,,,,9960.15,6686.1,372.6,0,0,0,0,0,0,0,0,0,1,49800.75,33430.5,1863,0,0,0,0,0,0,0,0,0
Cilantro,1 mar - 15 jun,105,690,43.125,60,25.875,,,31.37,0,0,3.23,,,,,,,0,0,8116.9875,0,0,835.7625,0,0,0,0,0,0,1,0,0,40584.9375,0,0,4178.8125,0,0,0,0,0,0
Otras Hortalizas,1 ene - 30 abr,120,616,38.5,30,11.55,55.05,68.45,60.13,7.62,,,,,,,,,6358.275,7905.975,6945.015,880.11,0,0,0,0,0,0,0,0,1,31791.375,39529.875,34725.075,4400.55,0,0,0,0,0,0,0,0
Otras Hortalizas,1 may - 31 ago,120,616,38.5,30,11.55,,,,,0,0,29.89,11.51,,,,,0,0,0,0,0,0,3452.295,1329.405,0,0,0,0,1,0,0,0,0,0,0,17261.475,6647.025,0,0,0,0
Otras Hortalizas,1 sep - 31 dic,120,616,38.5,40,15.4,,,,,,,,,0,0,28.34,71.35,0,0,0,0,0,0,0,0,0,0,4364.36,10987.9,1,0,0,0,0,0,0,0,0,0,0,21821.8,54939.5
Tabaco,1 nov - 31 dic,150,226,14.125,40,5.65,88.58,96.81,56.55,,,,,,,,0,57.51,5004.77,5469.765,3195.075,0,0,0,0,0,0,0,0,3249.315,1,25023.85,27348.825,15975.375,0,0,0,0,0,0,0,0,16246.575
Tabaco,1 dic - 31 dic,150,226,14.125,60,8.475,65.36,95.19,73.83,2.43,,,,,,,,35.47,5539.26,8067.3525,6257.0925,205.9425,0,0,0,0,0,0,0,3006.0825,1,27696.3,40336.7625,31285.4625,1029.7125,0,0,0,0,0,0,0,15030.4125
Lechosa,1 abr - 31 dic,270,30,1.875,40,0.75,,,,0,0,0,12.52,12,0,0,18.3,54.74,0,0,0,0,0,0,93.9,90,0,0,137.25,410.55,1,0,0,0,0,0,0,469.5,450,0,0,686.25,2052.75
Lechosa,1 may - 31 ene,270,30,1.875,60,1.125,63.24,,,,0,0,0,0,0,0,23.95,65.46,711.45,0,0,0,0,0,0,0,0,0,269.4375,736.425,1,3557.25,0,0,0,0,0,0,0,0,0,1347.1875,3682.125
Pasto Natural,1 ene - 31 dic,365,1169,73.0625,100,73.0625,66.84,70.84,43.71,0,0,4.12,21.73,3.76,0,0,16.31,59.81,48834.975,51757.475,31935.61875,0,0,3010.175,15876.48125,2747.15,0,0,11916.49375,43698.68125,1,244174.875,258787.375,159678.0938,0,0,15050.875,79382.40625,13735.75,0,0,59582.46875,218493.4063
