Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Berenjena,1 abr - 10 jul,100,972,60.75,60,36.45,,,,39.89,69.76,131.93,135.26,35.17,,,,,0,0,0,14539.91,25427.52,48088.49,49302.27,12819.47,0,0,0,0,1,0,0,0,14539.91,25427.52,48088.49,49302.27,12819.47,0,0,0,0
Remolacha,1 feb - 30 abr,100,42,2.63,50,1.31,,51.04,73.63,118.62,39.58,,,,,,,,0,669.9,966.39,1556.89,519.49,0,0,0,0,0,0,0,1,0,669.9,966.39,1556.89,519.49,0,0,0,0,0,0,0
Remolacha,1 mar - 30 may,100,42,2.63,50,1.31,,,23.08,72.95,134.95,43.32,,,,,,,0,0,302.93,957.47,1771.22,568.58,0,0,0,0,0,0,1,0,0,302.93,957.47,1771.22,568.58,0,0,0,0,0,0
Pepino,1 mar - 15 abr,45,125,7.81,40,3.13,,,68.3,77.16,108.52,30.65,,,,,,,0,0,2134.38,2411.25,3391.25,957.81,0,0,0,0,0,0,1,0,0,2134.38,2411.25,3391.25,957.81,0,0,0,0,0,0
Pepino,1 abr - 15 may,45,125,7.81,60,4.69,,,,41.8,76.79,124.7,34.49,,,,,,0,0,0,1959.38,3599.53,5845.31,1616.72,0,0,0,0,0,1,0,0,0,1959.38,3599.53,5845.31,1616.72,0,0,0,0,0
Auyama,1 abr - 31 ago,150,1240,77.5,20,15.5,,,,5.68,34.2,124.64,136.91,84.93,,,,,0,0,0,880.4,5301,19319.2,21221.05,13164.15,0,0,0,0,1,0,0,0,880.4,5301,19319.2,21221.05,13164.15,0,0,0,0
Auyama,1 may - 30 sep,150,1240,77.5,30,23.25,,,,,2.36,48.71,127.42,113.43,51.13,,,,0,0,0,0,548.7,11325.08,29625.15,26372.48,11887.73,0,0,0,1,0,0,0,0,548.7,11325.08,29625.15,26372.48,11887.73,0,0,0
Auyama,1 sep - 31 ene,150,1240,77.5,20,15.5,112.5,,,,,,,,0,0,81.86,124.5,17437.5,0,0,0,0,0,0,0,0,0,12688.3,19297.5,1,17437.5,0,0,0,0,0,0,0,0,0,12688.3,19297.5
Auyama,1 oct - 28 feb,150,1240,77.5,30,23.25,134.86,121.43,,,,,,,,0,28.5,118.02,31354.95,28232.48,0,0,0,0,0,0,0,0,6626.25,27439.65,1,31354.95,28232.48,0,0,0,0,0,0,0,0,6626.25,27439.65
Repollo,1 feb - 31 may,120,47,2.94,40,1.18,,96.59,105.07,115.43,35.37,,,,,,,,0,1134.93,1234.57,1356.3,415.6,0,0,0,0,0,0,0,1,0,1134.93,1234.57,1356.3,415.6,0,0,0,0,0,0,0
