Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Batata,1 ene - 30 abr,120,"11,052",690.75,20,138.15,76.57,150.63,152.57,96.38,,,,,,,,,"105,781.46","208,095.35","210,775.46","133,148.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"105,781.46","208,095.35","210,775.46","133,148.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Batata,1 feb - 31 may,120,"11,052",690.75,30,207.23,,80.67,140.32,133.64,98.34,,,,,,,,0.00,"167,168.41","290,778.12","276,935.49","203,785.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"167,168.41","290,778.12","276,935.49","203,785.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Batata,1 ago - 30 nov,120,"11,052",690.75,20,138.15,,,,,,,,34.16,79.11,75.12,73.40,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,192.04","109,290.47","103,778.28","101,402.10",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"47,192.04","109,290.47","103,778.28","101,402.10",0.00
Batata,1 sep - 31 dic,120,"11,052",690.75,30,207.23,,,,,,,,,3.64,64.45,102.05,110.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,542.99","133,556.51","211,473.11","229,812.53",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,542.99","133,556.51","211,473.11","229,812.53"
Tomate,1 sep - 15 ene,135,36,2.25,40,0.90,58.03,,,,,,,,6.09,28.16,99.34,136.15,522.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.81,253.44,894.06,"1,225.35",1.00,522.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.81,253.44,894.06,"1,225.35"
Tomate,1 oct - 15 feb,135,36,2.25,60,1.35,147.15,63.86,,,,,,,,0.00,58.78,134.67,"1,986.53",862.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,793.53,"1,818.05",1.00,"1,986.53",862.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,793.53,"1,818.05"
Cebolla,1 sep - 31 ene,150,"13,360",835.00,40,334.00,110.53,,,,,,,,29.63,58.42,89.29,123.35,"369,170.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"98,964.20","195,122.80","298,228.60","411,989.00",1.00,"369,170.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"98,964.20","195,122.80","298,228.60","411,989.00"
Cebolla,1 oct - 28 feb,150,"13,360",835.00,60,501.00,133.59,119.26,,,,,,,,20.45,86.54,125.02,"669,285.90","597,492.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,454.50","433,565.40","626,350.20",1.00,"669,285.90","597,492.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,454.50","433,565.40","626,350.20"
Ajies,1 mar - 10 jun,100,"1,257",78.56,40,31.43,,,72.00,114.87,130.79,32.77,,,,,,,0.00,0.00,"22,626.00","36,097.90","41,100.76","10,297.97",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"22,626.00","36,097.90","41,100.76","10,297.97",0.00,0.00,0.00,0.00,0.00,0.00
Ajies,1 abr - 10 jul,100,"1,257",78.56,60,47.14,,,,45.78,116.41,147.38,36.59,,,,,,0.00,0.00,0.00,"21,579.55","54,872.76","69,471.25","17,247.61",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"21,579.55","54,872.76","69,471.25","17,247.61",0.00,0.00,0.00,0.00,0.00
Zanahoria,1 mar - 10 jun,100,81,5.06,40,2.03,,,85.75,104.87,117.01,38.46,,,,,,,0.00,0.00,"1,736.44","2,123.62","2,369.45",778.82,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"1,736.44","2,123.62","2,369.45",778.82,0.00,0.00,0.00,0.00,0.00,0.00
Zanahoria,1 abr - 10 jul,100,81,5.06,60,3.04,,,,60.74,105.96,133.34,42.21,,,,,,0.00,0.00,0.00,"1,844.98","3,218.54","4,050.20","1,282.13",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"1,844.98","3,218.54","4,050.20","1,282.13",0.00,0.00,0.00,0.00,0.00
